Entity,Code,Year,Renewables (% equivalent primary energy)
Argentina,ARG,1965,1.1027236
Argentina,ARG,1966,1.0818976
Argentina,ARG,1967,1.0765653
Argentina,ARG,1968,1.2273394
Argentina,ARG,1969,1.0651699
Argentina,ARG,1970,1.3534116
Argentina,ARG,1971,1.2703215
Argentina,ARG,1972,1.2349966
Argentina,ARG,1973,2.2836952
Argentina,ARG,1974,3.6298018
Argentina,ARG,1975,3.862203
Argentina,ARG,1976,3.5544236
Argentina,ARG,1977,3.9092395
Argentina,ARG,1978,5.2276783
Argentina,ARG,1979,6.7023063
Argentina,ARG,1980,9.552859
Argentina,ARG,1981,9.541531
Argentina,ARG,1982,11.229479
Argentina,ARG,1983,11.303474
Argentina,ARG,1984,12.132671
Argentina,ARG,1985,12.759556
Argentina,ARG,1986,12.298526
Argentina,ARG,1987,12.247486
Argentina,ARG,1988,8.417367
Argentina,ARG,1989,7.5435934
Argentina,ARG,1990,10.292679
Argentina,ARG,1991,9.081444
Argentina,ARG,1992,10.206743
Argentina,ARG,1993,12.216533
Argentina,ARG,1994,13.306406
Argentina,ARG,1995,12.535519
Argentina,ARG,1996,10.225038
Argentina,ARG,1997,12.514141
Argentina,ARG,1998,11.482152
Argentina,ARG,1999,9.226557
Argentina,ARG,2000,12.283858
Argentina,ARG,2001,15.937488
Argentina,ARG,2002,16.249306
Argentina,ARG,2003,14.408259
Argentina,ARG,2004,12.1855755
Argentina,ARG,2005,12.788524
Argentina,ARG,2006,13.449462
Argentina,ARG,2007,10.599154
Argentina,ARG,2008,10.437064
Argentina,ARG,2009,11.783506
Argentina,ARG,2010,11.661375
Argentina,ARG,2011,10.929448
Argentina,ARG,2012,10.216426
Argentina,ARG,2013,10.950079
Argentina,ARG,2014,11.038978
Argentina,ARG,2015,10.907397
Argentina,ARG,2016,10.167007
Argentina,ARG,2017,10.964719
Argentina,ARG,2018,11.39763
Argentina,ARG,2019,11.926772
Argentina,ARG,2020,12.179417
Argentina,ARG,2021,11.329249
Brazil,BRA,1965,27.548721
Brazil,BRA,1966,27.618214
Brazil,BRA,1967,27.880291
Brazil,BRA,1968,25.555754
Brazil,BRA,1969,25.05622
Brazil,BRA,1970,26.901081
Brazil,BRA,1971,26.817772
Brazil,BRA,1972,27.390734
Brazil,BRA,1973,26.1017
Brazil,BRA,1974,26.928135
Brazil,BRA,1975,27.995861
Brazil,BRA,1976,29.160088
Brazil,BRA,1977,31.084343
Brazil,BRA,1978,31.529354
Brazil,BRA,1979,33.38749
Brazil,BRA,1980,36.188007
Brazil,BRA,1981,37.50488
Brazil,BRA,1982,39.09782
Brazil,BRA,1983,41.86777
Brazil,BRA,1984,43.21895
Brazil,BRA,1985,43.929535
Brazil,BRA,1986,43.219524
Brazil,BRA,1987,42.77721
Brazil,BRA,1988,44.011196
Brazil,BRA,1989,44.574318
Brazil,BRA,1990,45.275486
Brazil,BRA,1991,45.86179
Brazil,BRA,1992,44.902706
Brazil,BRA,1993,45.15963
Brazil,BRA,1994,44.5656
Brazil,BRA,1995,44.34581
Brazil,BRA,1996,44.08196
Brazil,BRA,1997,43.489933
Brazil,BRA,1998,43.57197
Brazil,BRA,1999,43.143803
Brazil,BRA,2000,43.288433
Brazil,BRA,2001,39.11162
Brazil,BRA,2002,40.756653
Brazil,BRA,2003,42.284126
Brazil,BRA,2004,42.286156
Brazil,BRA,2005,43.1457
Brazil,BRA,2006,43.045963
Brazil,BRA,2007,44.380226
Brazil,BRA,2008,43.366776
Brazil,BRA,2009,46.30883
Brazil,BRA,2010,44.246536
Brazil,BRA,2011,43.91006
Brazil,BRA,2012,42.06637
Brazil,BRA,2013,39.836597
Brazil,BRA,2014,38.852745
Brazil,BRA,2015,40.603523
Brazil,BRA,2016,43.5387
Brazil,BRA,2017,43.280678
Brazil,BRA,2018,46.080498
Brazil,BRA,2019,47.304844
Brazil,BRA,2020,49.47188
Brazil,BRA,2021,46.21975
Chile,CHL,1965,16.010857
Chile,CHL,1966,15.744313
Chile,CHL,1967,15.76555
Chile,CHL,1968,13.261512
Chile,CHL,1969,13.893923
Chile,CHL,1970,14.088003
Chile,CHL,1971,14.758605
Chile,CHL,1972,16.941067
Chile,CHL,1973,17.183693
Chile,CHL,1974,19.690105
Chile,CHL,1975,21.933805
Chile,CHL,1976,21.624561
Chile,CHL,1977,22.024628
Chile,CHL,1978,21.673307
Chile,CHL,1979,21.54592
Chile,CHL,1980,22.060732
Chile,CHL,1981,22.26287
Chile,CHL,1982,26.589516
Chile,CHL,1983,28.068626
Chile,CHL,1984,27.7989
Chile,CHL,1985,30.296179
Chile,CHL,1986,31.164711
Chile,CHL,1987,32.0948
Chile,CHL,1988,28.36174
Chile,CHL,1989,21.771547
Chile,CHL,1990,18.957916
Chile,CHL,1991,24.084661
Chile,CHL,1992,28.35539
Chile,CHL,1993,27.52927
Chile,CHL,1994,25.954523
Chile,CHL,1995,26.028479
Chile,CHL,1996,22.551899
Chile,CHL,1997,21.909548
Chile,CHL,1998,18.059258
Chile,CHL,1999,15.275815
Chile,CHL,2000,19.573402
Chile,CHL,2001,22.04736
Chile,CHL,2002,22.61727
Chile,CHL,2003,22.010809
Chile,CHL,2004,19.768446
Chile,CHL,2005,22.415243
Chile,CHL,2006,22.566658
Chile,CHL,2007,18.706137
Chile,CHL,2008,20.915377
Chile,CHL,2009,21.777431
Chile,CHL,2010,19.264341
Chile,CHL,2011,17.502325
Chile,CHL,2012,18.09596
Chile,CHL,2013,18.432415
Chile,CHL,2014,20.193163
Chile,CHL,2015,21.427673
Chile,CHL,2016,19.706335
Chile,CHL,2017,22.405031
Chile,CHL,2018,24.343296
Chile,CHL,2019,24.144995
Chile,CHL,2020,26.557531
Chile,CHL,2021,26.518875
Colombia,COL,1965,11.788209
Colombia,COL,1966,12.017394
Colombia,COL,1967,12.580107
Colombia,COL,1968,13.300462
Colombia,COL,1969,14.526139
Colombia,COL,1970,14.817516
Colombia,COL,1971,15.987799
Colombia,COL,1972,15.767954
Colombia,COL,1973,17.170427
Colombia,COL,1974,17.39551
Colombia,COL,1975,19.235607
Colombia,COL,1976,19.407125
Colombia,COL,1977,19.36701
Colombia,COL,1978,20.862885
Colombia,COL,1979,21.545105
Colombia,COL,1980,23.044971
Colombia,COL,1981,22.218885
Colombia,COL,1982,22.697723
Colombia,COL,1983,21.790188
Colombia,COL,1984,23.639833
Colombia,COL,1985,24.441961
Colombia,COL,1986,27.276325
Colombia,COL,1987,27.310854
Colombia,COL,1988,28.748077
Colombia,COL,1989,29.793999
Colombia,COL,1990,32.640934
Colombia,COL,1991,31.6998
Colombia,COL,1992,24.605455
Colombia,COL,1993,27.847397
Colombia,COL,1994,29.809082
Colombia,COL,1995,29.331577
Colombia,COL,1996,31.475914
Colombia,COL,1997,27.334064
Colombia,COL,1998,26.691463
Colombia,COL,1999,31.378248
Colombia,COL,2000,29.556067
Colombia,COL,2001,30.604485
Colombia,COL,2002,32.692554
Colombia,COL,2003,33.389133
Colombia,COL,2004,34.505455
Colombia,COL,2005,35.05353
Colombia,COL,2006,34.14272
Colombia,COL,2007,35.182762
Colombia,COL,2008,33.94141
Colombia,COL,2009,31.377745
Colombia,COL,2010,30.092037
Colombia,COL,2011,34.515675
Colombia,COL,2012,31.746134
Colombia,COL,2013,29.385107
Colombia,COL,2014,28.364685
Colombia,COL,2015,28.021618
Colombia,COL,2016,27.708813
Colombia,COL,2017,32.82906
Colombia,COL,2018,31.99955
Colombia,COL,2019,29.890343
Colombia,COL,2020,30.772787
Colombia,COL,2021,33.02041
Ecuador,ECU,1965,8.505215
Ecuador,ECU,1966,9.248206
Ecuador,ECU,1967,9.417127
Ecuador,ECU,1968,8.330954
Ecuador,ECU,1969,8.701673
Ecuador,ECU,1970,8.106536
Ecuador,ECU,1971,8.015814
Ecuador,ECU,1972,7.758966
Ecuador,ECU,1973,7.0862336
Ecuador,ECU,1974,6.9780536
Ecuador,ECU,1975,8.653943
Ecuador,ECU,1976,7.57248
Ecuador,ECU,1977,5.8732605
Ecuador,ECU,1978,7.960053
Ecuador,ECU,1979,6.851764
Ecuador,ECU,1980,6.642501
Ecuador,ECU,1981,5.3501143
Ecuador,ECU,1982,5.5936837
Ecuador,ECU,1983,10.982115
Ecuador,ECU,1984,18.537539
Ecuador,ECU,1985,15.903298
Ecuador,ECU,1986,18.56394
Ecuador,ECU,1987,20.51675
Ecuador,ECU,1988,18.759295
Ecuador,ECU,1989,18.673532
Ecuador,ECU,1990,18.208445
Ecuador,ECU,1991,16.781824
Ecuador,ECU,1992,16.528347
Ecuador,ECU,1993,18.627613
Ecuador,ECU,1994,19.351002
Ecuador,ECU,1995,16.093634
Ecuador,ECU,1996,17.381893
Ecuador,ECU,1997,16.071613
Ecuador,ECU,1998,15.920069
Ecuador,ECU,1999,19.251896
Ecuador,ECU,2000,21.613928
Ecuador,ECU,2001,19.692354
Ecuador,ECU,2002,21.095179
Ecuador,ECU,2003,19.533443
Ecuador,ECU,2004,18.734905
Ecuador,ECU,2005,16.596605
Ecuador,ECU,2006,16.25161
Ecuador,ECU,2007,19.557272
Ecuador,ECU,2008,22.617521
Ecuador,ECU,2009,18.929243
Ecuador,ECU,2010,15.936485
Ecuador,ECU,2011,19.198841
Ecuador,ECU,2012,19.840086
Ecuador,ECU,2013,17.377462
Ecuador,ECU,2014,17.276142
Ecuador,ECU,2015,19.640232
Ecuador,ECU,2016,23.628025
Ecuador,ECU,2017,28.335857
Ecuador,ECU,2018,27.386934
Ecuador,ECU,2019,31.76902
Ecuador,ECU,2020,36.035774
Ecuador,ECU,2021,32.3542
Peru,PER,1965,13.740327
Peru,PER,1966,12.172948
Peru,PER,1967,13.394147
Peru,PER,1968,14.111241
Peru,PER,1969,15.24189
Peru,PER,1970,14.120807
Peru,PER,1971,17.272398
Peru,PER,1972,19.887009
Peru,PER,1973,18.577597
Peru,PER,1974,17.592985
Peru,PER,1975,17.860975
Peru,PER,1976,18.50168
Peru,PER,1977,19.078714
Peru,PER,1978,19.59224
Peru,PER,1979,20.157331
Peru,PER,1980,19.488487
Peru,PER,1981,21.09335
Peru,PER,1982,22.348915
Peru,PER,1983,24.380442
Peru,PER,1984,24.780766
Peru,PER,1985,26.95251
Peru,PER,1986,26.928583
Peru,PER,1987,27.016397
Peru,PER,1988,26.545847
Peru,PER,1989,29.118135
Peru,PER,1990,29.302029
Peru,PER,1991,32.345062
Peru,PER,1992,28.06741
Peru,PER,1993,31.196318
Peru,PER,1994,30.9784
Peru,PER,1995,28.913647
Peru,PER,1996,28.776926
Peru,PER,1997,28.34366
Peru,PER,1998,29.417265
Peru,PER,1999,30.10594
Peru,PER,2000,32.495964
Peru,PER,2001,35.526463
Peru,PER,2002,35.351955
Peru,PER,2003,36.600243
Peru,PER,2004,32.297504
Peru,PER,2005,31.84631
Peru,PER,2006,34.128056
Peru,PER,2007,31.039616
Peru,PER,2008,28.021553
Peru,PER,2009,28.33369
Peru,PER,2010,25.21364
Peru,PER,2011,24.354307
Peru,PER,2012,24.011053
Peru,PER,2013,24.136717
Peru,PER,2014,23.94071
Peru,PER,2015,24.024496
Peru,PER,2016,22.57668
Peru,PER,2017,26.171818
Peru,PER,2018,26.795403
Peru,PER,2019,26.621336
Peru,PER,2020,30.744228
Peru,PER,2021,27.741009
Venezuela,VEN,1965,2.1140678
Venezuela,VEN,1966,2.1339145
Venezuela,VEN,1967,2.373532
Venezuela,VEN,1968,3.6946752
Venezuela,VEN,1969,4.241876
Venezuela,VEN,1970,5.4061537
Venezuela,VEN,1971,6.983937
Venezuela,VEN,1972,7.378936
Venezuela,VEN,1973,6.668883
